#	бал	тех	pnl	ориг	подача	slug	демо-хост	признаки
1	12	5	2	3	2	delphi-alpha/delphi-conformal-risk-control-condor	jannissio.github.io	conformal,lean4,pre-registered
2	12	4	3	2	3	zevora/skew-autonomous-volatility-desk	skew.zevora.io	term structure,variance risk
3	11	4	2	2	3	thesis/muthur-8400-autonomous-options-trading-agent	muthur.avtechlab.com	replay,self-host
4	10	4	2	1	3	intelliyash/alphaswarm-sovereign-capital	youtu.be	monte carlo
5	9	5	2	0	2	luna/markgap-the-pandl-an-agent-can-actually-collect	markgap-demo.vercel.app	-
6	9	4	2	1	2	it-works-but-why/convictionspread-explainable-options-agent	chatgpt.site	walk-forward
7	9	3	2	2	2	beyond-vibe/printrunner-closed-loop-earnings-agent	printrunner.vercel.app	hypothesis graph,preregist
8	9	4	2	1	2	xx/glassbox-alpha-verifiable-ai-options-agent	workers.dev	replay
9	9	4	2	1	2	blackbear001/institutional-options-alpha-agent	streamlit	garch
10	9	3	2	2	2	vetoed/vetoed-an-agent-most-useful-when-it-says-no	chong1120.github.io	variance risk
11	9	4	3	0	2	ai-velocity/automated-spy-weekly-iron-butterfly-trading-agent	streamlit	-
12	9	4	2	1	2	apex101/volition-ai-trading-agent	ts.net	monte carlo
13	8	4	2	0	2	fatdaddy/theta-warden	streamlit	-
14	8	4	2	0	2	larry-prompts/sentinel-autonomous-options-trading-agent	nativelyai	-
15	8	1	2	3	2	wall-street-quant/msarhmmgammatrendstrategy	vercel	dealer gamma,hmm,markov
16	8	2	3	1	2	intelligence-money-printer/stable-income-generator	github.io	replay
17	8	2	3	1	2	adquant/adquant-autonomous-agentic-options-trading-desk	fastapicloud	kelly
18	8	1	2	3	2	nullsignal/z-gate	onrender	kalman,ornstein,kelly
19	8	4	2	0	2	regret/regret-autonomous-ai-options-trading-agent	vercel	-
20	8	3	2	0	3	optionwright/optionwright-llm-proposes-code-decides	optionwright.richardx.dev	-
21	8	2	2	1	3	futarchists/futarchists-options	desk.futarchists.xyz	genetic
22	8	4	2	0	2	oster/vegaguard-auditable-ai-options-agent	vercel	-
23	8	4	2	0	2	sentinel-ai/sentinel-ai	streamlit	-
24	8	4	0	2	2	capybaraknocknock/caisheng	run.app	variance risk,leak
25	8	5	0	1	2	hivan04/eventus-algorithm	streamlit	replay
26	8	3	2	0	3	razorsedge/autobelay-long-premium-short-leash	bot.wpmccormick.pm	-
27	7	1	2	1	3	godh/acpia-srishti	(битая ссылка)	не по теме трека
28	7	2	1	2	2	haptus/aegis-alpha	aegis-alpha.duckdns.org	replay,counterfactual
29	7	2	2	0	3	convexity/convexity-the-agent-that-cannot-buy-a-wide-book	convexity.faruqueamin.com	-
30	7	1	2	1	3	trdrbot/trdrbot-a-self-improving-options-trading-agent	trdrbot.com	-
32	7	3	2	0	2	uncharted-labs/uncharted-options	vercel	-
34	7	2	2	1	2	returnee/aegisalpha-autonomous-ai-options-desk	vercel	volatility risk
36	7	1	2	1	3	team-lunarnodal/hermes-trader-autonomous-ai-trading-agent	hermes-demo.sams.haus	-
37	7	1	2	1	3	trueintrinsics-agent/a-continual-learning-agent	finance.trueintrinsics.app	-
38	6	1	2	2	1	honest-wheel/honest-wheel-cash-secured-puts-with-an-error-bar	голый IP	error bar
39	6	1	2	1	2	sonsonsahur/killjoy	vercel	-
41	6	4	0	0	2	kriz/volta-volatility-surface-trading-agent	vercel	-
45	6	4	0	1	1	theunemployed/thetaswarm-autonomous-options-alpha-desk	github (нет демо)	shadow book
48	6	1	2	1	2	agent-00trade/sentrytheta-ai-autonomous-options-trading-agent	hf.space	-
53	6	1	2	1	2	edgestack-ai/edgestack-evidence-gated-trading-agent	github.io	-
54	6	2	0	2	2	oracle/oracle-247-autonomous-options-trading-desk	onrender	monte carlo,kelly
